ref,title,author,lastRunTime,totalVotes,sortRank
paul720810/hermes-attack-v52-replicate-20260717-001828,Hermes Attack v52-replicate-20260717-001828,Paul720810,2026-07-17T00:18:32.473000,1,121
rikitomo0526/ai-agent-security-attack-script-exp021,AI Agent Security - Attack script exp021,Rick,2026-08-31T14:23:23.270000,4,122
paul720810/hermes-attack-v38-pure-n950-20260713-200926,Hermes Attack v38-pure-n950-20260713-200926,Paul720810,2026-07-13T20:09:29.480000,1,123
paul720810/hermes-attack-v49-pure-n950-m1p05-20260717-001515,Hermes Attack v49-pure-n950-m1p05-20260717-001515,Paul720810,2026-07-17T00:15:18.323000,1,124
malikhammadfarooq/jed-x-adaptive-trace-guided-attack-search,JED-X: Adaptive Trace-Guided Attack Search,Hammad Farooq,2026-08-25T10:29:38.847000,0,125
paul720810/hermes-attack-v50-pure-n950-m1p15-20260717-001610,Hermes Attack v50-pure-n950-m1p15-20260717-001610,Paul720810,2026-07-17T00:16:15.720000,1,126
isakatsuyoshi/jed-clean-email-rick-use-allcaps-n2000,JED clean email Rick USE allcaps N2000,ISAKA Tsuyoshi,2026-08-30T12:47:19.800000,2,127
jek1wantaufik/tool-attack-submission,Tool Attack Submission,Jeki Wan Taufik,2026-06-15T18:48:13.547000,23,128
pengwang91/jed-cleanimp445-marker,jed-cleanimp445-marker,Peng Wang,2026-07-05T01:05:51.777000,2,129
kleniopadilha/winnex-v61-attack,WINNEX V61 Attack,Klenio Padilha,2026-07-13T14:50:11.160000,1,130
paul720810/hermes-attack-v51-pure-n950-m1p2-20260717-001708,Hermes Attack v51-pure-n950-m1p2-20260717-001708,Paul720810,2026-07-17T00:17:13.390000,1,131
paul720810/hermes-attack-v39-pure-n1000-tight-20260716-002217,Hermes Attack v39-pure-n1000-tight-20260716-002217,Paul720810,2026-07-16T00:22:21.930000,1,132
pengwang91/jed-cleanimp430-marker,jed-cleanimp430-marker,Peng Wang,2026-07-05T01:05:16.753000,2,133
paul720810/hermes-attack-v53-n1200-framing-20260718-002659,Hermes Attack v53-n1200-framing-20260718-002659,Paul720810,2026-07-18T00:27:03.317000,1,134
pengwang91/jed-cleanimp420-marker,jed-cleanimp420-marker,Peng Wang,2026-07-03T00:49:25.227000,3,135
junaid512/agent-security-attack-submission,Agent-Security Attack Submission,Muhammad Junaid,2026-07-03T18:25:52.880000,62,136
karnakbaevarthur/dynamic-replay-architecture,Dynamic Replay Architecture,Karnakbayev Artur,2026-06-18T10:24:40.760000,35,137
paul720810/hermes-attack-v72-m112-20260721-151926,Hermes Attack v72-m112-20260721-151926,Paul720810,2026-07-21T15:19:30.777000,2,138
paul720810/hermes-attack-v57-n950-naked-url-20260718-003257,Hermes Attack v57-n950-naked-url-20260718-003257,Paul720810,2026-07-18T00:33:02.153000,1,139
tkhanna96/gemma-k4-gpt-k1-nb,Gemma K4 GPT K1 NB,Tkhanna96,2026-06-15T20:53:13.027000,4,140
imbikramsaha/ai-agent-public-score-34-540,AI Agent | Public Score - 34.540,Bikram Saha,2026-06-19T07:15:35.487000,4,141
yw8837/ai-agent-security-34-255-to-8-145-full-code,AI Agent Security: 34.255 to 8.145 | Full Code,yw8837,2026-09-02T01:54:07.787000,0,142
verise6211/aas-pilk-a3-k2,aas-pilk-a3-k2,verise6211,2026-07-06T00:11:07.740000,1,143
paul720810/hermes-openclaw-attack-e005-20260704-041518,Hermes OpenClaw Attack E005-20260704-041518,Paul720810,2026-07-04T04:15:22.277000,1,144
pratyaymon/notebook289b303504,notebook289b303504,Pratyay Mondal,2026-07-18T14:24:15.057000,1,145
caoyupeng/ai-agent-security-v2-exfil-mass-shift,AI Agent Security - V2 Exfil Mass Shift,SpeedSci,2026-06-13T16:01:18.113000,72,146
